"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"219" "AT1G03090" 6.35245 7.75775 16.06029 3.30028 7.58888 33.07836
"220" "AT1G03100" 1.8006 2.5278 11.65134 3.81658 4.93022 19.82182
"221" "AT1G03103" -1.06257 -0.96747 0.60496 -3.17236 -2.1018 1.25808
"222" "AT1G03106" 4.94035 5.96175 0.39805 6.91712 8.33632 1.08853
"223" "AT1G03110" 8.46005 9.97175 6.31908 6.22508 8.91798 1.85376
"224" "AT1G03120" 3.50766 5.69259 15.07349 0.47608 2.93726 15.2917
"225" "AT1G03130" 1.7668 7.3957 16.06029 2.6207 8.6691 10.5014
"226" "AT1G03140" 5.50195 11.04515 11.93785 4.1873 13.4865 3.3459
"227" "AT1G03150" 6.6017 10.1075 2.94468 5.64651 15.23081 2.21037
"228" "AT1G03160" 4.5294 4.4248 6.87624 2.41954 6.23234 5.2657
"229" "AT1G03165" 3.38431 1.45595 7.4334 2.4957 1.60752 8.82956
"230" "AT1G03170" -1.79229 -2.05664 -2.19638 3.00527 -0.0262399999999996 0.46938
"231" "AT1G03180" 7.73374 7.64904 0.620950000000001 8.79784 8.11474 -0.78838
"232" "AT1G03190" 7.97655 7.46385 4.87075 5.62115 10.99475 5.47758
"233" "AT1G03200" 2.46342 4.66926 -0.30233 -0.22747 3.35152 1.70314
"234" "AT1G03210" 2.55998 1.64744 1.68735 0.627890000000001 2.29942 0.692340000000001
"235" "AT1G03220" -0.67458 -0.81013 2.32404 2.69732 3.07463 10.50416
"236" "AT1G03230" -2.16681 -0.162849999999999 1.24163 -0.91998 2.07854 3.73208
"237" "AT1G03240" 2.50086 2.28178 -0.95496 3.70977 2.65955 0.970673
"238" "AT1G03250" 4.85764 6.03264 13.75235 5.31322 5.06902 12.47836
"239" "AT1G03260" 5.8227 9.8528 6.95579 2.86687 11.96304 3.339
"240" "AT1G03270" 3.7211 7.4404 2.18077 4.30697 8.86217 -0.0355799999999995
"241" "AT1G03280" 3.45005 4.52695 18.73439 -0.0272600000000001 2.90972 15.60879
"242" "AT1G03290" 5.08254 7.09834 4.77523 2.54548 6.75818 4.55156
"243" "AT1G03300" 7.92774 8.90764 10.33018 8.76054 11.16004 5.59742
"244" "AT1G03310" 7.77893 12.06333 3.58142 6.88601 14.09521 3.41418
"245" "AT1G03320" 2.8411 2.78469 11.42854 1.75384 3.40689 5.12607
"246" "AT1G03330" 7.85519 7.01889 11.20564 1.94155 5.51235 5.44255
"247" "AT1G03340" 6.55033 7.86783 0.87555 -0.952029999999999 2.19 1.26683
"248" "AT1G03350" 9.03004 15.00984 5.93708 3.2941 15.2309 2.07813
"249" "AT1G03360" 7.46419 12.95239 8.97735 2.96699 11.43759 8.81854
