ID	WT1	WT2	atx345_1	atx345_2	
AT1G06130	199	223	300	305
AT1G06135	0	0	1	3
AT1G06137	0	0	1	0
AT1G06140	2	0	7	10
AT1G06143	14	6	21	26
AT1G06150	57	49	118	143
AT1G06148	1	0	2	2
AT1G06160	67	54	72	62
AT1G06170	1	0	0	1
AT1G04447	0	0	0	0
AT1G06180	22	6	27	43
AT1G06190	112	99	234	316
AT1G06200	86	122	191	185
AT1G06210	49	16	69	80
AT1G06220	120	97	314	403
AT1G06225	0	0	0	0
AT1G06230	82	40	139	166
AT1G06240	230	150	103	147
AT1G06250	2	3	4	8
AT1G06265	4	3	2	1
AT1G06260	0	0	0	0
AT1G06270	34	12	14	24
AT1G06280	0	0	0	0
AT1G06290	137	232	518	505
AT1G06310	0	0	0	0
AT1G06320	0	0	0	0
AT1G06330	0	0	0	2
AT1G06340	0	0	0	0
AT1G06350	77	6	12	34
AT1G06360	425	238	263	257
AT1G06370	18	15	12	14
AT1G06380	14	6	28	49
AT1G06390	220	219	362	343
AT1G06400	90	66	131	166
AT1G04453	0	0	0	0
AT1G06410	318	387	610	893
AT1G06420	6	2	2	4
AT1G06430	689	837	748	1834
AT1G06440	5	1	11	9
AT1G06450	3	1	2	2
AT1G04463	0	0	0	0
AT1G06460	101	340	236	143
AT1G04467	0	0	0	0
AT1G06470	113	73	120	117
AT1G06475	0	0	0	0
AT1G06480	0	0	0	0
AT1G06490	7	6	7	22
AT1G06500	9	20	27	43
AT1G04473	0	0	0	0
AT1G06515	57	27	42	31
AT1G04477	0	0	0	1
AT1G06510	43	52	82	71
AT1G06520	6	2	8	9
AT1G06530	0	0	0	0
AT1G06540	0	0	0	1
AT1G06550	101	52	72	205
AT1G06560	33	19	101	129
AT1G04483	0	0	0	0
AT1G06570	328	312	337	491
AT1G06580	9	9	11	13
AT1G06590	27	26	78	78
AT1G06610	0	0	0	0
AT1G06620	34	29	84	57
AT1G06630	92	96	115	90
AT1G06640	143	259	296	314
AT1G06645	34	53	75	76
AT1G04487	0	0	0	0
AT1G06650	106	140	264	349
AT1G06660	4	5	12	14
AT1G06670	22	10	79	65
AT1G06680	6897	13207	8536	7878
AT1G06690	215	364	312	450
AT1G06700	144	214	283	332
AT1G06710	6	7	21	23
AT1G04493	0	0	0	0
AT1G04497	0	0	0	0
AT1G06720	21	3	64	115
AT1G06730	61	54	73	96
AT1G06740	4	6	14	21
AT1G06750	1	0	0	0
AT1G06760	110	62	212	174
AT1G04503	0	0	0	0
AT1G06770	10	8	34	20
AT1G06780	12	21	41	38
AT1G06790	49	20	28	71
AT1G04507	0	0	0	0
AT1G06800	13	18	15	23
AT1G04513	0	0	0	0
AT1G06810	0	0	0	0
AT1G06820	248	198	166	215
AT1G06830	735	218	42	89
AT1G06840	34	80	103	95
AT1G06850	35	25	42	46
AT1G04517	0	0	0	0
AT1G06860	0	0	0	0
AT1G04523	0	0	0	0
AT1G06870	128	80	131	153
AT1G04527	0	0	0	0
AT1G06880	0	0	0	0
AT1G06890	396	228	327	348
AT1G06900	57	51	163	160
AT1G06910	6	5	11	8
AT1G06920	0	0	0	0
AT1G06923	0	0	0	0
AT1G04533	0	0	0	0
AT1G06925	0	0	0	0
AT1G06930	0	0	0	0
AT1G06950	172	103	660	698
AT1G06960	32	35	37	63
AT1G06970	0	0	0	0
AT1G06980	3	5	0	1
AT1G06990	0	0	0	0
AT1G07000	111	236	416	315
AT1G07010	812	281	227	727
AT1G04537	0	0	0	0
AT1G07020	12	19	44	39
AT1G04547	0	0	0	0
AT1G07025	0	0	0	0
AT1G07030	97	56	112	161
AT1G07040	55	145	179	141
AT1G07050	1	1	0	1
AT1G07060	0	0	0	1
AT1G04557	0	0	0	0
AT1G07070	29	28	92	110
AT1G07080	833	779	546	699
AT1G07090	55	41	70	93
AT1G07100	0	0	0	0
AT1G07110	221	312	463	618
AT1G07119	0	0	1	0
AT1G07120	0	0	1	0
AT1G04563	0	0	0	0
AT1G07128	0	0	0	0
AT1G07130	0	0	0	0
AT1G07135	308	593	169	134
AT1G07140	253	133	416	400
AT1G07150	11	14	18	52
AT1G07160	1	3	5	3
AT1G07170	69	70	117	90
AT1G07175	1	0	0	1
AT1G07180	1849	979	551	1214
AT1G07190	0	0	0	0
AT1G07200	75	146	159	197
AT1G07210	82	62	184	200
AT1G07220	27	22	82	119
AT1G04567	0	0	1	1
AT1G07230	34	59	196	154
AT1G07240	123	162	208	112
AT1G07250	253	302	268	370
AT1G07260	34	9	9	10
AT1G07270	3	2	5	8
AT1G07280	155	466	284	251
AT1G04573	0	0	0	0
AT1G07290	4	2	5	4
AT1G07300	23	13	14	21
AT1G07310	102	123	249	192
AT1G07320	1355	1456	1809	2357
AT1G07330	0	0	0	0
AT1G07340	0	0	0	0
AT1G07350	94	89	117	285
AT1G07360	86	36	132	248
AT1G07370	50	40	83	135
AT1G07380	35	42	56	45
AT1G07390	21	9	30	34
AT1G07400	11	1	3	17
AT1G07410	5	4	6	1
AT1G07420	126	114	107	134
AT1G07430	3	4	5	5
AT1G07440	223	342	98	126
AT1G07450	22	15	18	14
AT1G07460	0	0	0	0
AT1G07470	30	39	85	133
AT1G04577	0	0	0	0
AT1G07473	1	0	0	0
AT1G04583	0	0	0	0
AT1G07476	0	0	0	0
AT1G07480	32	37	86	111
AT1G04587	1	0	1	1
AT1G07485	0	0	0	0
AT1G07490	0	0	0	0
AT1G07510	87	53	193	268
AT1G07500	0	0	0	0
AT1G07520	0	0	0	0
AT1G07530	91	170	258	276
